State/UT ,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A & N Islands,Chandigarh,D&N Haveli,Daman & Diu,Delhi,Lakshadweep,Puducherry
Illegal Gain ,327,3,156,198,4,20,237,196,2,8,183,718,114,29,1082,3,14,0,1,27,24,263,0,65,267,4,1850,14,136,3,3,0,0,36,0,0
Revenge ,6,0,329,91,19,0,4,6,1,0,0,47,29,5,45,0,3,1,1,0,8,53,0,16,217,0,85,21,57,0,2,1,0,9,0,0
Insult to Modesty of Women ,84,0,3,0,9,0,0,16,3,2,0,41,28,18,372,1,3,0,0,2,5,5,0,2,5,1,13,1,55,0,0,0,0,17,0,0
Extortion/ Blackmailing ,7,0,59,1,1,2,3,19,9,0,58,76,9,5,46,0,3,0,0,0,11,32,0,5,28,2,144,8,42,0,1,0,0,0,0,0
Sexual Exploitation,7,0,41,6,11,0,28,10,0,1,0,41,29,8,144,1,1,0,0,0,14,14,0,22,21,1,138,1,23,0,4,0,0,3,0,0
Causing Disrepute ,0,0,35,0,12,1,44,1,0,0,0,11,12,85,31,0,4,0,0,0,3,21,0,7,0,0,177,0,3,0,0,0,0,1,0,0
Inciting Hate Crimes against Community ,2,0,5,0,0,0,11,0,0,0,0,15,0,10,28,0,0,0,0,0,0,8,0,10,1,0,59,0,0,0,0,0,0,0,0,0
Developing own Business/ Interest,3,0,0,3,2,1,8,16,8,0,17,12,3,3,6,0,0,0,0,0,0,0,0,4,6,0,39,0,10,0,0,0,0,0,0,0
Prank / Satisfaction of Gaining Control ,0,0,1,0,1,3,1,0,0,0,0,2,0,5,5,0,0,0,0,0,1,2,0,0,0,0,97,0,1,0,0,0,0,2,0,0
Political Motives ,0,1,10,3,1,0,0,0,0,0,0,6,6,0,2,0,1,0,0,0,0,0,1,2,0,0,4,0,2,0,0,0,0,0,0,1
Disrupt Public Services,0,0,0,0,0,3,0,0,0,0,1,9,1,0,10,0,0,0,0,0,1,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0
Piracy ,0,0,0,0,0,0,0,0,0,0,0,2,9,0,3,0,0,0,0,0,5,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Steal Information for Espionage ,0,0,0,0,0,0,0,0,0,0,0,11,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sale/ Purchase of Illegal Drugs/ Other Items ,1,0,0,1,0,0,4,0,0,0,0,2,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serious Psychiatric Illness viz. Perversion, etc.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Inciting Hate Crimes against Country ,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others ,179,0,57,6,30,1,22,137,8,17,0,106,39,90,593,6,7,0,0,288,29,542,0,7,45,0,29,16,148,0,16,0,0,30,0,1
